person_name,user_name,email,personal_number,birth_date,address,phone,mac_address,ip_address,iban,accessed_at,session_duration,download_speed,upload_speed,consumed_traffic,unique_id
Rebeca Georgescu,rebecageorgescu,rebecageorgescu@post.ro,8111214427712,1937-02-23,"Bulevardul Nistor Nr. 454 Bl. 26  Sc. 14 Ap. 791, Cobadin, 978930",0765 584 592,ee:b1:81:da:5c:50,96.138.135.125,RO81AKAX5036244920127877,2025-07-02 13:11:30,1636,335,29,1918431,a557082c-c8c8-4e0e-b4b1-543550601981
Pamela Ene,pamelaene,pamelaene@zzup.ro,7310919404991,2001-04-24,"Intrarea Florea Georgescu, Cornetu, 502662",0763 409 174,e2:d6:ef:2f:c5:e2,162.47.34.4,RO86RUGL2245732410294998,2025-07-02 13:11:30,25505,781,303,1316001,2ae6a5ca-c56a-449c-aced-181f6418d733
Ina Marin,inamarin,inamarin@zzup.ro,6900602067926,1914-10-28,"Aleea Tomescu, Navodari, 326319",0754 489 288,a4:bf:8b:f3:b1:d6,30.171.146.14,RO81OVAO1705424083795699,2025-07-02 13:11:30,34845,56,288,59364,ffb5e3cf-cfeb-4d32-b4cb-5f53b47d5b32
Zina Preda,zinapreda,zinapreda@kappa.ro,1461024461291,1981-04-14,"Aleea Toma Ardelean Nr. 75 Bl. 41  Sc. 96 Ap. 709, Rasnov, 252344",0247 974 956,be:cd:66:2a:63:a2,119.136.10.228,RO42MQHY1886657189562824,2025-07-02 13:11:30,1744,492,103,464689,fb050861-ec24-49bc-afa9-647219394156
Veniamin Marin,veniaminmarin,veniaminmarin@post.ro,8010820164332,1933-07-17,"Strada Stancu Pop, Dragu-Brad, 826595",0252 490 829,b6:e5:dd:ec:58:2a,158.58.239.238,RO58YXBJ8665958685148912,2025-07-02 13:11:30,15379,921,63,1505447,914232fb-36ee-4e2a-9698-74e948d82e16
Emanoil Nistor,emanoilnistor,emanoilnistor@zzup.ro,8671027330349,1939-07-26,"Strada Tudor Nr. 90 Bl. 14  Sc. 67 Ap. 937, Darabani, 719553",0264 381 888,14:fc:15:0e:d4:29,50.77.239.203,RO20RUEZ0045845228284154,2025-07-02 13:11:30,16197,510,755,577768,2e098eda-f72a-48cf-9abf-e19052e8eadd
Anuța Stănescu,anuțastănescu,anuțastănescu@kappa.ro,7600426306710,2021-01-19,"Aleea Manole, Peris, 664348",0711 677 372,d0:0e:36:d8:5b:10,59.186.99.91,RO23MTSR6074608457618935,2025-07-02 13:11:30,29369,723,222,356595,49c48ad0-82c2-43de-ab87-6742f5263665
Voichița Georgescu,voichițageorgescu,voichițageorgescu@zzup.ro,5691218425877,1966-03-01,"Aleea Pop, Targu Frumos, 228127",0262 492 023,f4:dd:89:f9:be:09,184.192.149.226,RO88REUU0912417638335266,2025-07-02 13:11:30,18398,810,468,1330605,18565f72-5248-4edf-8760-2e3c7458f906
Anda Mazilescu,andamazilescu,andamazilescu@email.ro,4631030141767,1992-08-14,"Intrarea Dobre Nr. 80, Salonta, 731670",0729 552 391,f6:a5:98:a4:05:0c,199.232.77.152,RO41LTNN3702033053974221,2025-07-02 13:11:30,8815,301,612,665718,9739f286-03b2-4bde-878d-e2ce425201e6
Valentina Dobre,valentinadobre,valentinadobre@acasa.ro,3371231446665,1944-05-01,"Drumul Nicolae Florea Nr. 85 Bl. 43  Sc. 67 Ap. 160, Cristuru Secuiesc, 885007",0254 585 915,a0:fe:52:b7:61:1d,14.204.185.124,RO36NUDZ3355885123887494,2025-07-02 13:11:30,16529,463,796,1035912,ba4104ea-89c0-4a13-a9ec-1c1ef23433c8
Costin Tabacu,costintabacu,costintabacu@kappa.ro,7120314420794,1931-11-07,"Drumul Elvira Manole Nr. 53, Tecuci, 943485",0733 412 691,74:6f:5b:c1:ce:e8,52.194.199.85,RO88GFNM6604759738221668,2025-07-02 13:11:30,25589,569,212,1599591,a730d075-9d68-48b6-bad0-d76d8d29019c
Avram Florea,avramflorea,avramflorea@email.ro,2700822084122,1909-10-24,"Drumul Dumitrescu Nr. 97 Bl. 87  Sc. 27 Ap. 120, Pucioasa, 480160",0756 325 025,d0:48:af:d9:bf:dd,220.180.90.45,RO55CGAH6929951406701538,2025-07-02 13:11:30,23222,535,230,421081,b87da2c6-6a24-4aa4-b45a-29c30785c241
Paulica Mazilescu,paulicamazilescu,paulicamazilescu@kappa.ro,3101110103248,1998-06-20,"Drumul Niță, Sibiu, 188821",0759 156 320,00:10:f2:43:b7:88,220.48.70.189,RO22VRGI0776467762698047,2025-07-02 13:11:30,18749,694,493,1196537,f619774d-0276-4c1a-af99-edf1265902b1
Tudosia Pușcașu,tudosiapușcașu,tudosiapușcașu@post.ro,4980601113942,1954-05-29,"Drumul Carina Cristea Nr. 878 Bl. 59  Sc. 22 Ap. 587, Jimbolia, 807696",0261 056 592,3a:d4:ed:a3:95:7a,90.198.57.82,RO30ROKJ6611925948628154,2025-07-02 13:11:30,8250,517,194,687308,7f0c0583-f941-46df-9008-543f0403d79b
Grațiana Tudor,grațianatudor,grațianatudor@post.ro,8580114019049,1992-06-28,"Aleea Ardelean, Rasnov Romacril, 714696",0741 902 657,8e:5f:2f:85:b7:9f,18.233.136.65,RO30RTEX3825495393742622,2025-07-02 13:11:30,5015,450,558,666379,f7716a89-d111-4144-8fa1-12be22bfa83d
Cătălin Tabacu,cătălintabacu,cătălintabacu@email.ro,4031030454951,1998-01-18,"Aleea Georgescu Nr. 233, Copsa Mica, 905322",0262 594 373,c6:e9:e6:dd:2b:5e,200.16.240.36,RO19WXKQ8966388693018489,2025-07-02 13:11:30,21371,549,680,832504,da5e8efc-9173-402a-a96a-b6b0a41f6fe2
Oana Cristea,oanacristea,oanacristea@zzup.ro,2600708094440,1917-04-18,"Aleea Tudor Nr. 69, Rovinari, 918931",0739 159 846,0c:bc:83:12:fc:d4,106.204.65.87,RO92EUKE0573695171915157,2025-07-02 13:11:30,12002,202,378,350639,2e6b1656-7105-4050-ae52-ceb2a3090fe3
Georgel Stoica,georgelstoica,georgelstoica@gmail.com,1530127336041,2001-02-01,"Intrarea Marcheta Albu Nr. 99, Miercurea-Ciuc, 332386",0744 744 986,38:41:6f:e7:bf:d3,218.29.21.45,RO39ZRGS1492233446466152,2025-07-02 13:11:30,11616,737,565,1751830,fe08a010-b24d-4b60-93e1-e90903521b8a
Stan Nistor,stannistor,stannistor@post.ro,4771218309144,1927-02-05,"Intrarea Suciu Nr. 707, Valea Mare (Babeni), 973890",0771 463 032,f6:de:a4:12:82:f7,95.161.214.42,RO71XHVC1469254959660954,2025-07-02 13:11:30,7943,276,494,504390,636f5b2d-9f48-43d7-acf7-f46eef4585e6
Stela Dobre,steladobre,steladobre@gmail.com,4530406395708,1930-11-02,"Soseaua Emanuela Gheorghiu Nr. 36 Bl. 39  Sc. 77 Ap. 491, Campulung, 285187",0748 621 654,e4:0e:e8:ba:74:e3,135.190.42.102,RO82BNKN9241951886339884,2025-07-02 13:11:30,13290,176,140,1508965,44c372ca-2bdb-41d7-aed4-7b15a0f4a85f
Horațiu Niță,horațiuniță,horațiuniță@kappa.ro,2990312097929,1922-02-25,"Bulevardul Zenovia Cristea Nr. 89 Bl. 98  Sc. 95 Ap. 663, Eforie Nord, 118302",0757 492 169,d6:ed:14:90:e8:36,147.173.147.233,RO05RJUK6767528193974782,2025-07-02 13:11:30,19182,633,57,1040454,a6fe9988-2e2e-4a45-9a84-1031d608d1c6
Semenica Voinea,semenicavoinea,semenicavoinea@zzup.ro,3401119069761,2007-02-05,"Bulevardul Dima Nr. 621 Bl. 93  Sc. 42 Ap. 878, Mizil, 711541",0252 015 651,0c:26:f1:95:09:7e,160.3.192.171,RO89WWBZ6589880588675305,2025-07-02 13:11:30,11685,813,282,70461,38fafc25-85a1-48cb-8725-97999830e222
Elvira Preda,elvirapreda,elvirapreda@email.ro,6090920469111,2025-02-22,"Soseaua Diaconescu, Modelu, 549021",0731 946 599,22:6a:bc:ba:8f:df,148.2.8.143,RO48EUUX2664517110981057,2025-07-02 13:11:30,3299,494,492,826095,748b52cb-8082-4bf1-92b1-296b55a2032e
Tudor Diaconescu,tudordiaconescu,tudordiaconescu@acasa.ro,4820803030960,2017-09-09,"Strada Barbu, Dancu, 115472",0247 508 818,00:cb:45:96:48:f5,182.101.152.220,RO92OMOA8495659909629397,2025-07-02 13:11:30,35661,594,645,1206320,3994975e-4eaa-4a0b-b092-bd5c653aa3a8
Anemona Eftimie,anemonaeftimie,anemonaeftimie@email.ro,6800809321620,1965-09-26,"Strada Cristian Dochioiu, Cugir, 593082",0723 453 417,9c:82:56:6e:a9:e0,73.95.182.243,RO27ZZPG4504363511967388,2025-07-02 13:11:30,1579,506,558,107551,03c1c260-abc8-4f52-a8c6-83d927e41ed6
Petrică Preda,petricăpreda,petricăpreda@acasa.ro,4270220345921,1927-03-22,"Soseaua Tomescu, Valea Caselor (Dragasani), 548168",0252 577 084,c4:00:61:32:e9:79,68.26.44.111,RO46BFHN8184368100108775,2025-07-02 13:11:30,10185,746,768,1363644,2dc2ae49-5280-49c6-918d-ddf641ebd943
Cezara Stoica,cezarastoica,cezarastoica@kappa.ro,8470216407892,1982-12-29,"Drumul Ionela Dumitrescu, Siria, 538050",0759 725 522,78:5d:48:3c:07:3f,201.175.93.234,RO90UANM9697793316151052,2025-07-02 13:11:30,33740,87,290,51587,4846448c-f561-4d06-a9ae-e8985d0a3066
Alexe Nistor,alexenistor,alexenistor@gmail.com,1121230298201,2018-02-09,"Strada Dima Nr. 81, Baia Sprie, 465390",0742 380 036,d4:04:37:66:8d:23,211.232.102.153,RO23WSZI4424813267531349,2025-07-02 13:11:30,8844,349,41,43138,4ee27757-1f8f-4e5b-a696-367887e6c162
Paula Voinea,paulavoinea,paulavoinea@zzup.ro,3080531328441,1997-08-05,"Aleea Stănescu Nr. 943 Bl. 54  Sc. 15 Ap. 143, Medgidia, 369821",0756 384 718,3a:5d:02:8e:fe:8c,209.73.45.28,RO02RTUG3592747288171135,2025-07-02 13:11:30,22060,213,222,1078368,dc8a5a86-07bc-48c8-a12f-776cbaf9a422
Cleopatra Ene,cleopatraene,cleopatraene@zzup.ro,8380510207461,1915-06-02,"Aleea Ene Nr. 95, Santana, 369136",0247 964 655,3e:01:be:60:4e:2b,168.74.156.73,RO48QYZN9566783840314428,2025-07-02 13:11:30,19471,758,8,9428,5c69269a-fef8-42ca-8a30-021677263671
Crenguța Ioniță,crenguțaioniță,crenguțaioniță@zzup.ro,1760422425367,1936-10-02,"Bulevardul Axinte Niță Nr. 958 Bl. 90  Sc. 75 Ap. 419, Zimnicea, 923194",021 503 1322,24:8c:bb:14:73:4d,9.206.17.63,RO60UATH8582070201995188,2025-07-02 13:11:30,33984,33,346,1527246,8ea83c80-9abf-4ee4-a2d7-60bf83e0d64f
Andra Gheorghiu,andragheorghiu,andragheorghiu@kappa.ro,4330110256701,1986-03-25,"Intrarea Ene Nr. 33 Bl. 28  Sc. 91 Ap. 996, Buhusi, 338351",0732 878 954,d2:fc:1e:ce:81:c2,193.201.64.200,RO38QNPE0279364177348823,2025-07-02 13:11:30,440,930,89,1855061,33052294-bc26-4c3a-b624-151292b85694
Romina Niță,rominaniță,rominaniță@post.ro,5080226465844,1923-07-18,"Bulevardul Popa Nr. 68 Bl. 88  Sc. 57 Ap. 290, Alesd, 784958",0742 276 888,1e:9b:da:59:cd:e9,15.204.254.20,RO98CUAS7012761907975254,2025-07-02 13:11:30,25329,875,378,1551916,b4e9bff2-9088-4f5e-bad7-0518096d8e7e
Antonela Gheorghiu,antonelagheorghiu,antonelagheorghiu@141.ro,8610312095198,1996-11-28,"Drumul Georgescu Nr. 154, Popesti-Leordeni, 167143",0734 199 809,78:f3:47:cc:c3:aa,135.73.146.150,RO61JHMG7986234121511395,2025-07-02 13:11:30,35355,951,667,493130,3e9bbe90-7e9b-4fe2-908a-41b79c0819e4
Iulia Oprea,iuliaoprea,iuliaoprea@gmail.com,3241224260063,1948-03-15,"Intrarea Denisa Dochioiu Nr. 23, Ocna Mures, 851485",0269 800 540,4c:a6:d2:db:8c:eb,116.147.52.38,RO43QHFQ0328558136817163,2025-07-02 13:11:30,3392,453,91,599258,929a81a5-0baf-4b7b-94d3-f6c115cf7166
David Tudor,davidtudor,davidtudor@gmail.com,1030723151987,1940-12-20,"Intrarea Letiția Georgescu, Lipova, 424536",0748 817 349,6a:17:30:bc:d7:db,61.247.94.150,RO45IPMV7653426792271242,2025-07-02 13:11:30,32323,132,796,1975783,6c9c0c7f-18a6-42e4-a864-c966477f91a8
Albertina Ardelean,albertinaardelean,albertinaardelean@zzup.ro,3800325315790,2005-07-11,"Soseaua Antoniu Florea Nr. 14, Cluj-Napoca, 674048",0265 296 326,1c:21:f8:72:ba:59,167.97.165.12,RO27OGLT5930672167227558,2025-07-02 13:11:30,32573,311,730,1120642,799c5ff8-dab7-461a-b5e8-b9048c4b0097
Cezara Ionescu,cezaraionescu,cezaraionescu@acasa.ro,5310803053946,1973-09-17,"Intrarea Nistor Nr. 51, Braila, 381675",0267 920 023,9c:55:08:c2:6d:e4,22.204.7.124,RO92YNJY2039604444199732,2025-07-02 13:11:30,18715,491,451,706436,9ac53ab1-cffc-4327-b4c1-612dbcaebc42
Luciana Eftimie,lucianaeftimie,lucianaeftimie@gmail.com,5181225184469,1980-02-27,"Bulevardul Ligia Stoica Nr. 51 Bl. 59  Sc. 98 Ap. 772, Ovidiu, 467976",0751 616 619,dc:b4:62:ba:b5:de,82.87.57.153,RO51PPER2888863565929210,2025-07-02 13:11:30,32476,730,144,870240,25e67a38-5d27-4508-84ff-96c91cbcfbfa
Alistar Preda,alistarpreda,alistarpreda@gmail.com,6660615377955,2013-07-10,"Drumul Marcela Oprea Nr. 899 Bl. 21  Sc. 29 Ap. 527, Gugesti, 267372",0748 649 213,42:11:dd:75:df:db,27.161.236.139,RO74VDES2769398428367293,2025-07-02 13:11:30,8950,853,282,1394955,94b210b2-f016-4ac5-aed6-9e9e3909326e
Lorelei Suciu,loreleisuciu,loreleisuciu@141.ro,8340115347961,1953-04-18,"Intrarea Remus Niță Nr. 68 Bl. 98  Sc. 76 Ap. 702, Radauti, 899877",0771 275 420,02:5c:c7:1f:a5:b0,124.101.141.195,RO70WZVX0969231798081290,2025-07-02 13:11:30,33543,363,277,362802,0905cd7d-4e1f-45f1-b9a0-84efbec92cc8
Izabela Oprea,izabelaoprea,izabelaoprea@141.ro,2961226411281,2014-02-08,"Drumul Dinu Nemeș Nr. 142, Urziceni, 532838",0258 249 144,52:0d:2f:16:6f:17,155.235.218.164,RO15APEG9540117587385532,2025-07-02 13:11:30,28251,519,415,1920984,e3ee929c-6c2d-46fb-ac56-9a8592cf498b
Remus Ababei,remusababei,remusababei@kappa.ro,6150408216581,1934-10-07,"Soseaua Pop Nr. 195 Bl. 81  Sc. 94 Ap. 226, Chisineu-Cris, 787113",0752 226 846,e6:86:86:9f:1a:51,146.34.115.10,RO44EJOD1821231593652581,2025-07-02 13:11:30,689,981,482,1383229,a821bc69-bf34-46c5-9bcf-70da44a16414
Simi Stancu,simistancu,simistancu@gmail.com,4900214422822,2007-09-12,"Intrarea Diaconu Nr. 150 Bl. 73  Sc. 34 Ap. 693, Domnesti, 239295",0261 586 423,b2:a9:fb:cf:a2:30,99.65.207.77,RO95AEWC0373857451711472,2025-07-02 13:11:30,32771,273,49,705645,a6436ba1-6cce-4246-847c-5efcf4351643
Dumitra Georgescu,dumitrageorgescu,dumitrageorgescu@acasa.ro,2820129356722,1997-04-22,"Bulevardul Tomescu, Pechea, 986972",0268 098 431,8e:16:a5:24:35:9a,45.140.93.170,RO64DMWM1507842605273558,2025-07-02 13:11:30,20332,825,703,953670,cac3a384-4e3e-470f-a125-2afebdd8bbea
Basarab Aanei,basarabaanei,basarabaanei@141.ro,5231130112054,1947-07-02,"Soseaua Iancu Niță, Jilava, 687513",0248 340 241,90:d3:54:21:e9:0d,89.195.60.219,RO71IIYH6728782867002312,2025-07-02 13:11:30,34494,997,152,383583,68b98ad7-9efa-4f62-b055-e44ad39453f0
Vasilica Popa,vasilicapopa,vasilicapopa@gmail.com,8681118512565,1984-02-24,"Strada Ionescu Nr. 12, Fetesti-Gara, 710300",0723 865 288,68:d2:14:81:23:9e,149.99.195.79,RO71FDUC4038881883126651,2025-07-02 13:11:30,2157,598,760,371327,7bc858ed-731f-46fb-8b3a-b90f2aaf754c
Consuela Gheorghiu,consuelagheorghiu,consuelagheorghiu@email.ro,8370621111318,2000-04-11,"Soseaua Bănel Nemeș, Topoloveni, 703224",0747 690 450,7e:e0:d4:19:0d:f5,101.35.49.27,RO55SQKD8476333257167301,2025-07-02 13:11:30,18136,176,626,209104,b171992d-2d13-4ec6-90ae-7d045d6d1326
Simina Florea,siminaflorea,siminaflorea@gmail.com,4810913281061,1995-10-27,"Aleea Dima Nr. 11 Bl. 76  Sc. 50 Ap. 318, Strehaia, 820118",0756 428 422,9c:a3:cd:76:c0:10,68.250.53.51,RO56QEOB1463092588893177,2025-07-02 13:11:30,28331,959,745,1506029,26b9c4aa-5d96-40c1-bdbb-14acf340fedc
Aneta Voinea,anetavoinea,anetavoinea@email.ro,4670203079241,2005-12-05,"Bulevardul Nistor Nr. 159 Bl. 72  Sc. 63 Ap. 914, Macin, 389330",0729 906 865,98:86:bc:fc:0b:bf,168.52.132.230,RO91KYYX5387944821916805,2025-07-02 13:11:30,5074,439,383,1166307,e10f395d-471a-4f49-968a-e637e4e68229
Crenguța Nistor,crenguțanistor,crenguțanistor@gmail.com,1080329270231,1917-02-24,"Intrarea Tomescu Nr. 524, Navodari, 877182",0788 999 639,6c:74:49:df:c5:9d,84.254.38.202,RO19RBEJ9590531233000456,2025-07-02 13:11:30,27261,858,374,1860668,5fbc83cc-374d-44bc-b5c2-3dc41cda2e24
Ina Florea,inaflorea,inaflorea@kappa.ro,1690122385701,2009-02-05,"Bulevardul Horia Ene Nr. 847, Valea Mare (Negresti), 368726",0727 539 944,ae:85:b8:27:1a:d1,223.80.111.202,RO74JYEL1245870547218957,2025-07-02 13:11:30,22463,53,347,1754078,f4d2810c-b990-4bf4-aaa4-5e522a3aced0
Angel Eftimie,angeleftimie,angeleftimie@zzup.ro,1040322229311,2013-10-14,"Drumul Ilona Popescu, Simeria, 851849",0727 595 509,ba:ce:f0:12:03:2c,142.59.254.115,RO59LGYH9322143130360724,2025-07-02 13:11:30,8192,616,175,1772475,bee5644c-1aee-4846-b5ac-29984ab2579c
Marcel Diaconu,marceldiaconu,marceldiaconu@zzup.ro,2070909390630,2003-01-21,"Soseaua Marta Preda Nr. 75 Bl. 48  Sc. 90 Ap. 806, Petrosani, 985234",0724 638 041,2e:62:68:07:69:d1,7.63.250.103,RO88LGXN7646743740101493,2025-07-02 13:11:30,29066,692,651,1126609,f509ce42-5819-481d-8b30-b6d7f52148b0
Antonela Albu,antonelaalbu,antonelaalbu@zzup.ro,4700601132859,2000-08-13,"Bulevardul Viorela Manole Nr. 71 Bl. 30  Sc. 96 Ap. 799, Targoviste, 158324",0236 572 294,5a:34:03:51:e7:de,12.23.38.182,RO22QFFX7743239119201922,2025-07-02 13:11:30,30623,68,412,1064000,7422ef54-5847-4f3f-8abc-3813a4e43f8c
Caterina Manole,caterinamanole,caterinamanole@kappa.ro,5240617231100,1973-10-01,"Aleea Nemeș Nr. 224 Bl. 81  Sc. 84 Ap. 963, Sadova, 826916",0269 904 721,a2:e2:10:a1:fb:87,76.120.49.82,RO42BNGP0497717952402903,2025-07-02 13:11:30,28023,654,598,1386637,c414526f-36c4-415d-be16-977715f3f1df
Ligia Barbu,ligiabarbu,ligiabarbu@141.ro,7020216157280,1953-08-19,"Strada Ababei, Pipera (Voluntari), 370314",0268 170 932,2c:23:47:d8:74:c9,47.152.144.203,RO19AIMF4052063239661641,2025-07-02 13:11:30,35708,214,748,828565,0795f40a-274a-42cd-af05-f19542a670bf
Zoe Dobre,zoedobre,zoedobre@email.ro,5730106048467,1996-09-02,"Soseaua Pușcașu Nr. 534, Alesd, 675046",0244 880 591,e8:48:75:ec:01:d0,186.82.6.23,RO03FSCY4689051558923371,2025-07-02 13:11:30,833,927,100,97249,cd05ed9f-be7f-4706-81e3-254fc989fde9
Silvian Cristea,silviancristea,silviancristea@zzup.ro,3490123217306,1924-11-21,"Bulevardul Manole, Drobeta-Turnu Severin, 479394",0267 241 001,94:69:12:15:07:c6,45.158.97.52,RO13BFYH0777043467467885,2025-07-02 13:11:30,15760,70,115,1750013,6646d21c-b43f-4f59-97d7-c29fcde74419
Ecaterina Barbu,ecaterinabarbu,ecaterinabarbu@gmail.com,5271130345661,1913-06-13,"Bulevardul Floare Toma Nr. 241 Bl. 17  Sc. 87 Ap. 515, Arbore, 332776",0243 063 859,c8:c4:7e:62:57:6b,222.193.251.185,RO11TYTJ2091750949574046,2025-07-02 13:11:30,6062,205,791,160985,cc63d753-9b3b-43a3-bbac-46a914f0a78a
Ligia Georgescu,ligiageorgescu,ligiageorgescu@acasa.ro,5070224447276,2021-02-06,"Aleea Manole Nr. 47 Bl. 58  Sc. 58 Ap. 924, Berceni, 473583",0266 856 288,28:da:2b:7f:e5:2a,116.22.169.231,RO09WYHO5015376326608840,2025-07-02 13:11:30,14886,290,137,1879767,7d43734d-ab72-4699-a784-dadeb7908a2e
Aglaia Dobre,aglaiadobre,aglaiadobre@email.ro,2110109038361,1948-08-27,"Aleea Oprea Nr. 69 Bl. 33  Sc. 67 Ap. 541, Vlahita, 842784",0243 627 653,ce:ea:ba:71:9f:03,37.66.156.249,RO08UWYM5845526956204458,2025-07-02 13:11:30,31634,353,305,1343097,017ca62d-fa5b-46b5-a77c-a4fe5ea7fd6c
Liviu Popescu,liviupopescu,liviupopescu@acasa.ro,1440214398833,1959-08-20,"Drumul Dochioiu, Insuratei, 776506",0739 970 907,94:29:d4:89:f2:fb,189.117.0.101,RO80QGVQ6222949410687740,2025-07-02 13:11:30,35217,141,777,263833,b7e203e7-715e-4a06-a81b-1f1ebb5bc6b3
Constanța Diaconu,constanțadiaconu,constanțadiaconu@gmail.com,6590514320288,1958-11-03,"Intrarea Iurie Cristea Nr. 245, Bolintin-Vale, 515756",0241 535 818,54:8d:f8:f1:bb:13,160.246.71.145,RO73ULVQ7290226754883453,2025-07-02 13:11:30,16426,745,532,1987500,5edf1a80-a5da-4c51-b80d-c20b299036b5
Rodica Voinea,rodicavoinea,rodicavoinea@kappa.ro,7991024350277,2018-09-01,"Drumul Stancu Nr. 433, Nasaud, 371425",0738 544 828,cc:d0:b1:bf:6d:4f,62.53.224.31,RO37ETXF5395605306643731,2025-07-02 13:11:30,28569,867,583,1439921,cb17e8f3-c9bb-4087-a0bf-fabf92c66777
Renata Suciu,renatasuciu,renatasuciu@post.ro,1860910041386,1948-11-02,"Intrarea Dinu, Siria, 924679",0246 117 377,c4:d2:a1:1e:04:8b,67.110.120.232,RO72PHNE1812486008258358,2025-07-02 13:11:30,18145,958,501,737676,809b721a-811f-4b2a-b95b-18c591ea39b2
Sorin Diaconescu,sorindiaconescu,sorindiaconescu@post.ro,3790904371119,1966-02-10,"Bulevardul Voinea, Dorohoi, 762819",0254 513 489,4e:eb:1e:97:b8:ae,82.94.240.17,RO63KRPO8057893300195812,2025-07-02 13:11:30,15441,745,392,593285,d4f415c3-9d57-4adb-bf48-8a95beaac625
Sava Diaconescu,savadiaconescu,savadiaconescu@141.ro,2701220307389,1920-03-21,"Bulevardul Ababei Nr. 256, Valea Caselor (Dragasani), 241286",0725 821 743,e0:82:b1:71:a9:ff,190.70.34.53,RO91INQO7971834250461043,2025-07-02 13:11:30,3690,872,404,1298738,6dfd9237-9a98-45d5-b489-37c636604905
Gabriela Manole,gabrielamanole,gabrielamanole@zzup.ro,7771203038008,1964-11-25,"Strada Diaconu Nr. 606 Bl. 47  Sc. 39 Ap. 435, Giarmata, 339480",0235 265 423,a2:88:41:f8:4c:30,62.188.152.35,RO19EAKP7077087532068892,2025-07-02 13:11:30,35473,870,759,1775290,2e80ca5c-1d60-49f3-83cb-bdcce95cdca3
Cazimir Ene,cazimirene,cazimirene@kappa.ro,8710522182543,1913-07-01,"Intrarea Popa, Valenii de Munte, 263865",0255 169 184,b6:d9:e0:b6:f9:b5,196.181.45.29,RO23NEOU1404816052061847,2025-07-02 13:11:30,30728,970,374,474456,4e7fcc6e-db37-4664-8f33-3589ffabfa6a
Damian Ababei,damianababei,damianababei@141.ro,3460704191439,2000-06-21,"Drumul Niță Nr. 58 Bl. 43  Sc. 97 Ap. 789, Draganesti-Olt, 216969",0745 074 087,40:75:7c:9a:f6:84,188.237.253.216,RO15JPBU3632136611571336,2025-07-02 13:11:30,20367,396,587,635581,bd9a437d-3518-4713-90dc-0957e5f2bde3
Mirela Manole,mirelamanole,mirelamanole@acasa.ro,4270126308437,2021-12-17,"Strada Dumitrescu Nr. 10 Bl. 24  Sc. 38 Ap. 142, Toplita, 791631",0771 240 377,c8:12:94:67:f0:77,55.33.199.42,RO70FXSA9442457394812384,2025-07-02 13:11:30,22676,568,106,176792,cf1040de-f88c-44b3-b2d9-e29b4b0cf378
Cedrin Gheorghiu,cedringheorghiu,cedringheorghiu@zzup.ro,3740424385748,1954-11-28,"Soseaua Leana Popescu Nr. 942 Bl. 36  Sc. 32 Ap. 627, Valea Mare (Negresti), 641316",0238 242 536,a4:fe:ef:04:24:12,103.241.220.173,RO45AQZV4324694509242355,2025-07-02 13:11:30,3555,333,760,1048997,5722a34a-6f07-4400-8b6e-01769c4cc8c7
Amalia Tabacu,amaliatabacu,amaliatabacu@141.ro,5460512203358,1994-05-07,"Drumul Cristea, Valea Mare (Babeni), 965449",0750 211 332,00:bb:09:3b:f5:4d,8.84.180.64,RO85YGRS3188652289099930,2025-07-02 13:11:30,27236,202,297,54234,39ea964f-0e89-4de6-8f6b-2bf73c8df543
Natalia Dinu,nataliadinu,nataliadinu@kappa.ro,2540511528912,2018-07-29,"Aleea Niță, Mizil, 103708",0256 544 003,d0:37:46:d3:d0:ba,140.51.160.223,RO89BOPI4840211660527327,2025-07-02 13:11:30,34928,123,297,1004692,c35d5150-ed05-496b-91ec-2494ec0d05da
Corvin Manole,corvinmanole,corvinmanole@kappa.ro,8180825075983,1943-12-07,"Soseaua Romanița Mocanu Nr. 639, Moldova Veche, 580166",0757 683 624,42:4f:3b:83:29:90,56.134.249.158,RO47LHGY1712169103052090,2025-07-02 13:11:30,29399,809,423,757341,572656a4-05fe-47a7-ba50-1dfba42a035c
Dominic Nemeș,dominicnemeș,dominicnemeș@141.ro,8600711305931,1941-06-08,"Strada Voinea Nr. 886, Pogoanele, 768721",0234 915 957,ac:89:f1:b9:ff:4f,119.131.234.89,RO95PEAA1285915153216007,2025-07-02 13:11:30,35089,875,202,1132127,486a8d1e-26dd-493f-830e-2ac13de130d1
Leopoldina Toma,leopoldinatoma,leopoldinatoma@141.ro,7230224148294,1988-12-21,"Intrarea Dobre, Campina, 909795",0758 127 434,44:79:ae:22:cc:e2,152.18.228.225,RO05YBWV0902267028194801,2025-07-02 13:11:30,3977,890,247,343885,589a9a64-3822-45f7-af53-aa3bf62fec6f
Dorinel Nistor,dorinelnistor,dorinelnistor@email.ro,5831201420131,2008-09-19,"Intrarea Stoica, Slobozia, 548777",0236 254 895,04:11:07:d8:af:b5,156.44.58.6,RO08SKPZ9401246054147977,2025-07-02 13:11:30,6830,35,211,1097506,aa262ec7-8b9f-4e0e-b0b7-1e626771eeb6
Adrian Stoica,adrianstoica,adrianstoica@zzup.ro,3341212245751,1947-08-17,"Aleea Bebe Tabacu, Valu lui Traian, 249962",0724 577 237,6c:23:be:ec:ca:6e,192.226.123.114,RO66PTHE8404083202328383,2025-07-02 13:11:30,16967,649,376,453802,aeb4a471-b4a6-4457-bb0b-aa3402e937fd
